Time(ms),Sensor,AQI,TVOC,ECO2,Rs0,Rs1,Rs2,Rs3,Temp(C),Humidity(%)
243108,4,2,123,586,108662,1,114670,47387,35.59,35.47
246124,0,2,88,528,118216,1,98603,50109,35.72,35.34
246125,1,2,159,639,113358,1,95969,44829,35.72,35.34
246127,2,2,147,622,104372,1,111455,51834,35.72,35.34
246128,3,2,110,565,136643,1,123869,53166,35.72,35.34
246130,4,2,115,574,107892,1,115644,47936,35.72,35.34
249148,0,2,88,529,117419,1,99576,50075,35.77,35.17
249149,1,2,152,630,115644,1,96818,45225,35.77,35.17
249151,2,2,184,672,104726,1,109808,49435,35.77,35.17
249152,3,2,110,566,138693,1,122742,53130,35.77,35.17
249154,4,2,121,583,109548,1,115175,47548,35.77,35.17
252170,0,2,98,546,118737,1,97607,49285,35.89,35.02
252171,1,2,147,623,113819,1,98670,45517,35.89,35.02
252173,2,2,156,635,105545,1,110106,51241,35.89,35.02
252174,3,2,82,518,137944,1,126153,55633,35.89,35.02
252176,4,2,119,580,109067,1,117657,47693,35.89,35.02
255194,0,2,104,557,121255,1,98270,48770,35.98,34.81
255195,1,2,168,652,116666,1,98170,44271,35.98,34.81
255197,2,2,160,640,107056,1,112402,50964,35.98,34.81
255198,3,2,104,555,141970,1,124752,53673,35.98,34.81
255200,4,2,113,571,111116,1,115058,48082,35.98,34.81
258216,0,2,102,552,119949,1,100049,50381,36.06,34.67
258217,1,2,164,646,116075,1,97673,44511,36.06,34.67
258219,2,2,156,635,106441,1,113550,51206,36.06,34.67
258220,3,2,86,525,141970,1,125855,55277,36.06,34.67
258222,4,2,112,569,110554,1,118737,48196,36.06,34.67
261240,0,2,80,514,120519,1,99273,50792,36.11,34.50
261241,1,2,143,616,116627,1,98470,45826,36.11,34.50
261243,2,2,155,633,106046,1,111644,51310,36.11,34.50
261244,3,2,85,523,140869,1,127139,55389,36.11,34.50
261246,4,2,103,555,109696,1,118136,48853,36.11,34.50
264262,0,2,78,512,120723,1,99643,50912,36.19,34.38
264263,1,2,173,658,117062,1,98737,44017,36.19,34.38
264265,2,2,155,634,106046,1,111947,51275,36.19,34.38
264266,3,2,84,521,147605,1,126795,55464,36.19,34.38
264268,4,2,124,588,110891,1,121420,47307,36.19,34.38
267286,0,2,83,519,121543,1,99643,50535,36.26,34.24
267287,1,2,145,619,117538,1,98670,45686,36.26,34.24
267289,2,2,175,661,107491,1,111116,49990,36.26,34.24
267290,3,2,96,543,141634,1,126967,54312,36.26,34.24
267292,4,2,123,586,110891,1,122783,47403,36.26,34.24
270308,0,2,105,558,120519,1,100422,48688,36.32,34.19
270309,1,2,144,618,116706,1,99072,45748,36.32,34.19
270311,2,2,164,646,107273,1,112631,50689,36.32,34.19
270312,3,2,98,546,139541,1,127657,54165,36.32,34.19
270314,4,2,115,573,110816,1,119665,47984,36.32,34.19
273332,0,2,84,522,122700,1,100762,50432,36.42,34.07
